,index,Pincode,Districtname,StateName
152,3675,125102,SIRSA,HARYANA
153,3701,125103,SIRSA,HARYANA
154,3732,125104,SIRSA,HARYANA
155,3782,125106,FATEHABAD,HARYANA
156,3816,125110,SIRSA,HARYANA
157,3867,125111,HISAR,HARYANA
158,3893,125112,FATEHABAD,HARYANA
159,3909,125113,HISAR,HARYANA
160,3937,125120,FATEHABAD,HARYANA
161,3985,125121,HISAR,HARYANA
162,4040,125133,FATEHABAD,HARYANA
163,4060,125201,SIRSA,HARYANA
164,4102,126101,JIND,HARYANA
165,4128,126102,JIND,HARYANA
166,4183,126110,JIND,HARYANA
167,4198,126111,JIND,HARYANA
168,4211,126112,JIND,HARYANA
169,4265,126113,JIND,HARYANA
170,4289,126114,JIND,HARYANA
171,4313,126115,JIND,HARYANA
172,4346,126116,JIND,HARYANA
173,4421,126125,JIND,HARYANA
174,4444,126152,JIND,HARYANA
175,4458,127021,BHIWANI,HARYANA
176,4468,127022,BHIWANI,HARYANA
177,4481,127025,BHIWANI,HARYANA
178,4487,127026,BHIWANI,HARYANA
179,4505,127027,BHIWANI,HARYANA
180,4510,127028,BHIWANI,HARYANA
181,4531,127029,BHIWANI,HARYANA
182,4554,127030,BHIWANI,HARYANA
183,4581,127031,BHIWANI,HARYANA
184,4593,127032,BHIWANI,HARYANA
185,4606,127035,BHIWANI,HARYANA
186,4617,127040,BHIWANI,HARYANA
187,4649,127041,BHIWANI,HARYANA
188,4660,127042,BHIWANI,HARYANA
189,4671,127043,BHIWANI,HARYANA
190,4694,127045,BHIWANI,HARYANA
191,4695,127046,BHIWANI,HARYANA
192,4734,127111,BHIWANI,HARYANA
193,4744,127114,BHIWANI,HARYANA
194,4751,127201,BHIWANI,HARYANA
195,4813,127306,BHIWANI,HARYANA
196,4843,127307,BHIWANI,HARYANA
197,4853,127308,BHIWANI,HARYANA
198,4879,127309,BHIWANI,HARYANA
199,4891,127310,BHIWANI,HARYANA
200,4912,127311,BHIWANI,HARYANA
201,4930,127312,BHIWANI,HARYANA
202,4950,131001,SONIPAT,HARYANA
203,4994,131021,SONIPAT,HARYANA
204,5005,131022,SONIPAT,HARYANA
205,5012,131023,SONIPAT,HARYANA
206,5030,131024,SONIPAT,HARYANA
207,5046,131027,SONIPAT,HARYANA
208,5060,131028,SONIPAT,HARYANA
209,5067,131029,SONIPAT,HARYANA
210,5079,131039,SONIPAT,HARYANA
211,5093,131101,SONIPAT,HARYANA
212,5133,131102,SONIPAT,HARYANA
213,5148,131103,SONIPAT,HARYANA
214,5166,131301,SONIPAT,HARYANA
215,5206,131302,SONIPAT,HARYANA
216,5217,131304,SONIPAT,HARYANA
217,5224,131305,SONIPAT,HARYANA
218,5233,131306,SONIPAT,HARYANA
219,5245,131402,SONIPAT,HARYANA
220,5276,131403,SONIPAT,HARYANA
221,5287,131408,SONIPAT,HARYANA
222,5298,131409,SONIPAT,HARYANA
223,5304,132001,KARNAL,HARYANA
224,5332,132022,KARNAL,HARYANA
225,5344,132023,KARNAL,HARYANA
226,5361,132024,KARNAL,HARYANA
227,5393,132036,KARNAL,HARYANA
228,5410,132037,KARNAL,HARYANA
229,5444,132039,KARNAL,HARYANA
230,5479,132040,KARNAL,HARYANA
231,5485,132041,KARNAL,HARYANA
232,5566,132046,KARNAL,HARYANA
233,5576,132054,KARNAL,HARYANA
234,5611,132101,PANIPAT,HARYANA
235,5645,132102,PANIPAT,HARYANA
236,5652,132103,PANIPAT,HARYANA
237,5661,132104,PANIPAT,HARYANA
238,5711,132105,PANIPAT,HARYANA
239,5726,132106,PANIPAT,HARYANA
240,5731,132107,PANIPAT,HARYANA
241,5760,132108,PANIPAT,HARYANA
242,5774,132113,PANIPAT,HARYANA
243,5795,132114,KARNAL,HARYANA
244,5859,132115,PANIPAT,HARYANA
245,5865,132116,KARNAL,HARYANA
246,5902,132117,KARNAL,HARYANA
247,5942,132122,PANIPAT,HARYANA
248,5950,132140,PANIPAT,HARYANA
249,5966,132145,PANIPAT,HARYANA
250,5974,132157,KARNAL,HARYANA
251,5996,133001,AMBALA,HARYANA
252,6013,133004,AMBALA,HARYANA
253,6071,133005,AMBALA,HARYANA
254,6087,133006,AMBALA,HARYANA
255,6088,133101,AMBALA,HARYANA
256,6101,133102,AMBALA,HARYANA
257,6158,133103,YAMUNA NAGAR,HARYANA
258,6208,133104,YAMUNA NAGAR,HARYANA
259,6250,133201,AMBALA,HARYANA
260,6274,133202,AMBALA,HARYANA
261,6295,133203,AMBALA,HARYANA
262,6317,133204,YAMUNA NAGAR,HARYANA
263,6387,133205,AMBALA,HARYANA
264,6419,133206,YAMUNA NAGAR,HARYANA
265,6478,133207,AMBALA,HARYANA
266,6500,133301,AMBALA,HARYANA
267,6502,133302,PANCHKULA,HARYANA
268,6526,134003,AMBALA,HARYANA
269,6541,134007,AMBALA,HARYANA
270,6567,134008,AMBALA,HARYANA
271,6652,134101,PANCHKULA,HARYANA
272,6653,134102,PANCHKULA,HARYANA
273,6690,134103,PANCHKULA,HARYANA
274,6691,134104,PANCHKULA,HARYANA
275,6692,134107,PANCHKULA,HARYANA
276,6695,134108,PANCHKULA,HARYANA
277,6696,134109,PANCHKULA,HARYANA
278,6731,134112,PANCHKULA,HARYANA
279,6742,134113,PANCHKULA,HARYANA
280,6749,134114,PANCHKULA,HARYANA
281,6750,134116,AMBALA,HARYANA
282,6775,134117,PANCHKULA,HARYANA
283,6778,134118,PANCHKULA,HARYANA
284,6823,134201,AMBALA,HARYANA
285,6871,134202,YAMUNA NAGAR,HARYANA
286,6914,134203,AMBALA,HARYANA
287,7055,134204,PANCHKULA,HARYANA
288,7117,134205,PANCHKULA,HARYANA
289,7389,135001,YAMUNA NAGAR,HARYANA
290,7397,135002,YAMUNA NAGAR,HARYANA
291,7432,135003,YAMUNA NAGAR,HARYANA
292,7523,135004,YAMUNA NAGAR,HARYANA
